WORDS,MEANINGS
algorithm,A set of rules for solving a problem in a given number of steps.
bandwidth,The maximum rate of data transfer across a given path.
compiler,Computer program that translates computer code written in one programming language into another language.
computer,A device that can be instructed to carry out sequences of arithmetic or logical operations automatically via computer programming.
database,An organised collection of data
router,A networking device that forwards data packets between computer networks.
debugging,Process of finding and removing errors from a program's source code.
analog,Piece of technology that does its job without processing numbers electronically.
array,Data structure consisting of a collection of elements.
Amplitude,"It is height of a wave, which is measured from its center position"
Elasticity,It is physical property of materials which return to their original shape once they are deformed.
Entropy,A quantity that describes the randomness of a substance or a system
Kinematics,Geometry of motion
Inertia,It is the tendency of an object to resist any change in its motion
Barometer,A device used to measure atmospheric pressure in pascals.
Equillibrium,When two or more forces are balanced.
Pitch,The frequency of a sound wave.
Waves,Disturbances that transfer energy from one place to another.
Dispersion,The splitting of white light waves when they enter and pass through a glass prism.
Conductivity�,Describes how easily a substance lets heat or electricity move through it.
Combustibility�,The ability of a substance to catch fire and burn in air.
Solubility�,Describes how much of a substance dissolves in another substance.
Alcohol,A homologous series with an -OH functional group.
Galvanising,Coating a metal with a protective layer of zinc.
Hydrocarbon,A compound containing only carbon and hydrogen.
Polymer,A substance which is made up of loads of small molecules joined together.
Reduction,Gain of electrons in a chemical reaction.
Yield,The amount of product gained from a reaction.
proton,A charged particle found in the nucleus of an atom.
